Project,TC,Approach,Policy,# Correct,# Missed,# java.io. Missed,# <clinit> Missed,#Excluded missing edges,# Actual (minus java.io.*/<clinit>/excluded),Missed relevant nodes,# Missing relevant nodes (in RCG not in SCG)
batik,TC_PadMode_Set,WALA,0-1-CFA,0,0,0,0,0,0,,0
batik,TC_TextNode_Anchor_List,WALA,0-1-CFA,0,0,0,0,0,0,,0
batik,TC_TextNode_Anchor_Map,SALSA,1-CFA,0,0,0,0,0,0,,0
batik,TC_CompositeRule_List,SENECA,0-1-CFA,0,0,0,0,0,0,,0
batik,TC_ARGBChannel_Simple,SENECA,0-1-CFA,0,0,0,0,0,0,,0
batik,TC_AbstractDocument_Set,SENECA,1-CFA,0,0,0,0,0,0,,0
batik,TC_CompositeRule_Map,SENECA,1-CFA,0,0,0,0,0,0,,0
batik,TC_ARGBChannel_Simple,SENECA,1-CFA,0,0,0,0,0,0,,0
batik,TC_PadMode_Map,SENECA,1-CFA,0,0,0,0,0,0,,0
batik,TC_CompositeRule_List,SENECA,1-CFA,0,0,0,0,0,0,,0
batik,TC_TextNode_Anchor_Simple,WALA,1-CFA,0,0,0,0,0,0,,0
batik,TC_ARGBChannel_Array,SALSA,1-CFA,0,0,0,0,0,0,,0
batik,TC_CompositeRule_Set,WALA,0-1-CFA,0,0,0,0,0,0,,0
batik,TC_CompositeRule_Array,WALA,0-1-CFA,0,0,0,0,0,0,,0
batik,TC_TextNode_Anchor_List,WALA,1-CFA,0,0,0,0,0,0,,0
batik,TC_TextNode_Anchor_Map,SENECA,1-CFA,0,0,0,0,0,0,,0
batik,TC_AbstractDocument_Set,WALA,1-CFA,0,0,0,0,0,0,,0
batik,TC_TextNode_Anchor_Map,SALSA,0-1-CFA,0,0,0,0,0,0,,0
batik,TC_ARGBChannel_Set,SENECA,0-1-CFA,0,0,0,0,0,0,,0
batik,TC_PadMode_Simple,SENECA,0-1-CFA,0,0,0,0,0,0,,0
batik,TC_PadMode_Map,WALA,1-CFA,0,0,0,0,0,0,,0
batik,TC_CompositeRule_List,WALA,0-1-CFA,0,0,0,0,0,0,,0
batik,TC_PadMode_Simple,SALSA,0-1-CFA,0,0,0,0,0,0,,0
batik,TC_ARGBChannel_Simple,WALA,0-1-CFA,0,0,0,0,0,0,,0
batik,TC_AbstractDocument_List,WALA,1-CFA,0,0,0,0,0,0,,0
batik,TC_TextNode_Anchor_Simple,SALSA,0-1-CFA,0,0,0,0,0,0,,0
batik,TC_TextNode_Anchor_List,SENECA,1-CFA,0,0,0,0,0,0,,0
batik,TC_TextNode_Anchor_Map,SENECA,0-1-CFA,0,0,0,0,0,0,,0
batik,TC_AbstractDocument_Set,WALA,0-1-CFA,0,0,0,0,0,0,,0
batik,TC_AbstractDocument_List,SALSA,0-1-CFA,0,0,0,0,0,0,,0
batik,TC_ARGBChannel_List,WALA,0-1-CFA,0,0,0,0,0,0,,0
batik,TC_PadMode_Map,SENECA,0-1-CFA,0,0,0,0,0,0,,0
batik,TC_CompositeRule_Simple,SALSA,1-CFA,0,0,0,0,0,0,,0
batik,TC_AbstractDocument_Simple,SENECA,1-CFA,0,0,0,0,0,0,,0
batik,TC_AbstractDocument_Array,WALA,1-CFA,0,0,0,0,0,0,,0
batik,TC_PadMode_List,SALSA,1-CFA,0,0,0,0,0,0,,0
batik,TC_PadMode_Simple,WALA,0-1-CFA,0,0,0,0,0,0,,0
batik,TC_CompositeRule_Set,SALSA,0-1-CFA,0,0,0,0,0,0,,0
batik,TC_CompositeRule_Set,WALA,1-CFA,0,0,0,0,0,0,,0
batik,TC_AbstractDocument_Map,SALSA,0-1-CFA,0,0,0,0,0,0,,0
batik,TC_TextNode_Anchor_Array,SENECA,1-CFA,0,0,0,0,0,0,,0
batik,TC_CompositeRule_Set,SENECA,0-1-CFA,0,0,0,0,0,0,,0
batik,TC_AbstractDocument_Map,SENECA,0-1-CFA,0,0,0,0,0,0,,0
batik,TC_PadMode_List,SALSA,0-1-CFA,0,0,0,0,0,0,,0
batik,TC_TextNode_Anchor_Array,SALSA,1-CFA,0,0,0,0,0,0,,0
batik,TC_TextNode_Anchor_Map,WALA,1-CFA,0,0,0,0,0,0,,0
batik,TC_ARGBChannel_Set,SALSA,0-1-CFA,0,0,0,0,0,0,,0
batik,TC_PadMode_Map,SALSA,0-1-CFA,0,0,0,0,0,0,,0
batik,TC_TextNode_Anchor_Array,SENECA,0-1-CFA,0,0,0,0,0,0,,0
batik,TC_AbstractDocument_Simple,WALA,0-1-CFA,0,0,0,0,0,0,,0
batik,TC_ARGBChannel_Set,SENECA,1-CFA,0,0,0,0,0,0,,0
batik,TC_PadMode_List,SENECA,1-CFA,0,0,0,0,0,0,,0
batik,TC_TextNode_Anchor_Set,WALA,0-1-CFA,0,0,0,0,0,0,,0
batik,TC_ARGBChannel_Map,WALA,0-1-CFA,0,0,0,0,0,0,,0
batik,TC_PadMode_Array,SALSA,1-CFA,0,0,0,0,0,0,,0
batik,TC_AbstractDocument_Simple,SENECA,0-1-CFA,0,0,0,0,0,0,,0
batik,TC_ARGBChannel_Array,SENECA,1-CFA,0,0,0,0,0,0,,0
batik,TC_CompositeRule_Simple,SENECA,0-1-CFA,0,0,0,0,0,0,,0
batik,TC_PadMode_Simple,SALSA,1-CFA,0,0,0,0,0,0,,0
batik,TC_CompositeRule_Simple,SALSA,0-1-CFA,0,0,0,0,0,0,,0
batik,TC_AbstractDocument_List,WALA,0-1-CFA,0,0,0,0,0,0,,0
batik,TC_CompositeRule_Map,SALSA,1-CFA,0,0,0,0,0,0,,0
batik,TC_ARGBChannel_Set,SALSA,1-CFA,0,0,0,0,0,0,,0
batik,TC_PadMode_Array,SENECA,1-CFA,0,0,0,0,0,0,,0
batik,TC_AbstractDocument_Map,SALSA,1-CFA,0,0,0,0,0,0,,0
batik,TC_CompositeRule_List,SALSA,1-CFA,0,0,0,0,0,0,,0
batik,TC_PadMode_Set,SALSA,1-CFA,0,0,0,0,0,0,,0
batik,TC_AbstractDocument_Array,SALSA,0-1-CFA,0,0,0,0,0,0,,0
batik,TC_ARGBChannel_Simple,SALSA,1-CFA,0,0,0,0,0,0,,0
batik,TC_ARGBChannel_Set,WALA,1-CFA,0,0,0,0,0,0,,0
batik,TC_PadMode_List,WALA,1-CFA,0,0,0,0,0,0,,0
batik,TC_CompositeRule_Map,SALSA,0-1-CFA,0,0,0,0,0,0,,0
batik,TC_CompositeRule_Map,WALA,1-CFA,0,0,0,0,0,0,,0
batik,TC_AbstractDocument_Set,SALSA,0-1-CFA,0,0,0,0,0,0,,0
batik,TC_CompositeRule_Array,SENECA,0-1-CFA,0,0,0,0,0,0,,0
batik,TC_ARGBChannel_List,SALSA,0-1-CFA,0,0,0,0,0,0,,0
batik,TC_AbstractDocument_Array,SENECA,0-1-CFA,0,0,0,0,0,0,,0
batik,TC_AbstractDocument_Simple,WALA,1-CFA,0,0,0,0,0,0,,0
