Project,TC,Approach,Policy,FromNode,ToNode
jpf,TC_Version_Map,SALSA,0-1-CFA,org.java.plugin.registry.Version:writeObject,org.java.plugin.registry.Version:toString
jpf,TC_Version_Map,SALSA,0-1-CFA,org.java.plugin.registry.Version:readObject,org.java.plugin.registry.Version:parseString
jpf,TC_Version_Simple,SALSA,0-1-CFA,org.java.plugin.registry.Version:readObject,org.java.plugin.registry.Version:parseString
jpf,TC_Version_List,WALA,0-1-CFA,org.java.plugin.registry.Version:writeObject,org.java.plugin.registry.Version:toString
jpf,TC_Version_List,WALA,0-1-CFA,org.java.plugin.registry.Version:readObject,org.java.plugin.registry.Version:parseString
jpf,TC_Version_Set,SALSA,1-CFA,org.java.plugin.registry.Version:writeObject,org.java.plugin.registry.Version:toString
jpf,TC_Version_Set,SALSA,1-CFA,org.java.plugin.registry.Version:readObject,org.java.plugin.registry.Version:parseString
jpf,TC_Version_Set,WALA,0-1-CFA,org.java.plugin.registry.Version:writeObject,org.java.plugin.registry.Version:toString
jpf,TC_Version_Set,WALA,0-1-CFA,org.java.plugin.registry.Version:readObject,org.java.plugin.registry.Version:parseString
jpf,TC_Version_List,WALA,1-CFA,org.java.plugin.registry.Version:writeObject,org.java.plugin.registry.Version:toString
jpf,TC_Version_List,WALA,1-CFA,org.java.plugin.registry.Version:readObject,org.java.plugin.registry.Version:parseString
jpf,TC_Version_Simple,WALA,0-1-CFA,org.java.plugin.registry.Version:writeObject,org.java.plugin.registry.Version:toString
jpf,TC_Version_Simple,WALA,0-1-CFA,org.java.plugin.registry.Version:readObject,org.java.plugin.registry.Version:parseString
jpf,TC_Version_Array,WALA,0-1-CFA,org.java.plugin.registry.Version:writeObject,org.java.plugin.registry.Version:toString
jpf,TC_Version_Array,WALA,0-1-CFA,org.java.plugin.registry.Version:readObject,org.java.plugin.registry.Version:parseString
jpf,TC_Version_Array,SALSA,0-1-CFA,org.java.plugin.registry.Version:writeObject,org.java.plugin.registry.Version:toString
jpf,TC_Version_Array,SALSA,0-1-CFA,org.java.plugin.registry.Version:toString,java.lang.String:length
jpf,TC_Version_Array,SALSA,0-1-CFA,org.java.plugin.registry.Version:toString,java.lang.StringBuffer:append
jpf,TC_Version_Array,SALSA,0-1-CFA,org.java.plugin.registry.Version:toString,java.lang.StringBuffer:<init>
jpf,TC_Version_Array,SALSA,0-1-CFA,org.java.plugin.registry.Version:toString,java.lang.StringBuffer:toString
jpf,TC_Version_Array,SALSA,0-1-CFA,org.java.plugin.registry.Version:readObject,org.java.plugin.registry.Version:parseString
jpf,TC_Version_Array,WALA,1-CFA,org.java.plugin.registry.Version:writeObject,org.java.plugin.registry.Version:toString
jpf,TC_Version_Array,WALA,1-CFA,org.java.plugin.registry.Version:readObject,org.java.plugin.registry.Version:parseString
jpf,TC_Version_Simple,SALSA,1-CFA,org.java.plugin.registry.Version:readObject,org.java.plugin.registry.Version:parseString
jpf,TC_Version_Map,WALA,1-CFA,org.java.plugin.registry.Version:writeObject,org.java.plugin.registry.Version:toString
jpf,TC_Version_Map,WALA,1-CFA,org.java.plugin.registry.Version:readObject,org.java.plugin.registry.Version:parseString
jpf,TC_Version_List,SALSA,1-CFA,org.java.plugin.registry.Version:writeObject,org.java.plugin.registry.Version:toString
jpf,TC_Version_List,SALSA,1-CFA,org.java.plugin.registry.Version:readObject,org.java.plugin.registry.Version:parseString
jpf,TC_Version_Map,WALA,0-1-CFA,org.java.plugin.registry.Version:writeObject,org.java.plugin.registry.Version:toString
jpf,TC_Version_Map,WALA,0-1-CFA,org.java.plugin.registry.Version:readObject,org.java.plugin.registry.Version:parseString
jpf,TC_Version_List,SALSA,0-1-CFA,org.java.plugin.registry.Version:writeObject,org.java.plugin.registry.Version:toString
jpf,TC_Version_List,SALSA,0-1-CFA,org.java.plugin.registry.Version:readObject,org.java.plugin.registry.Version:parseString
jpf,TC_Version_Set,WALA,1-CFA,org.java.plugin.registry.Version:writeObject,org.java.plugin.registry.Version:toString
jpf,TC_Version_Set,WALA,1-CFA,org.java.plugin.registry.Version:readObject,org.java.plugin.registry.Version:parseString
jpf,TC_Version_Array,SALSA,1-CFA,org.java.plugin.registry.Version:writeObject,org.java.plugin.registry.Version:toString
jpf,TC_Version_Array,SALSA,1-CFA,org.java.plugin.registry.Version:toString,java.lang.String:length
jpf,TC_Version_Array,SALSA,1-CFA,org.java.plugin.registry.Version:toString,java.lang.StringBuffer:append
jpf,TC_Version_Array,SALSA,1-CFA,org.java.plugin.registry.Version:toString,java.lang.StringBuffer:<init>
jpf,TC_Version_Array,SALSA,1-CFA,org.java.plugin.registry.Version:toString,java.lang.StringBuffer:toString
jpf,TC_Version_Array,SALSA,1-CFA,org.java.plugin.registry.Version:readObject,org.java.plugin.registry.Version:parseString
jpf,TC_Version_Set,SALSA,0-1-CFA,org.java.plugin.registry.Version:writeObject,org.java.plugin.registry.Version:toString
jpf,TC_Version_Set,SALSA,0-1-CFA,org.java.plugin.registry.Version:readObject,org.java.plugin.registry.Version:parseString
jpf,TC_Version_Array,SENECA,1-CFA,org.java.plugin.registry.Version:writeObject,org.java.plugin.registry.Version:toString
jpf,TC_Version_Simple,WALA,1-CFA,org.java.plugin.registry.Version:writeObject,org.java.plugin.registry.Version:toString
jpf,TC_Version_Simple,WALA,1-CFA,org.java.plugin.registry.Version:readObject,org.java.plugin.registry.Version:parseString
jpf,TC_Version_Map,SALSA,1-CFA,org.java.plugin.registry.Version:writeObject,org.java.plugin.registry.Version:toString
jpf,TC_Version_Map,SALSA,1-CFA,org.java.plugin.registry.Version:readObject,org.java.plugin.registry.Version:parseString
