Project,TC,Approach,Policy,FromNode,ToNode
pooka,TC_InputStreamSource_Set,SENECA,1-CFA,org.htmlparser.lexer.InputStreamSource:writeObject,org.htmlparser.lexer.InputStreamSource:read
pooka,TC_InputStreamSource_Set,SENECA,1-CFA,org.htmlparser.lexer.InputStreamSource:read,org.htmlparser.lexer.InputStreamSource:read
pooka,TC_InputStreamSource_Set,SENECA,1-CFA,org.htmlparser.lexer.Stream:read,org.htmlparser.lexer.Stream:fill
pooka,TC_InputStreamSource_Set,SENECA,1-CFA,org.htmlparser.lexer.Stream:fill,java.lang.Math:max
pooka,TC_InputStreamSource_Set,SENECA,1-CFA,org.htmlparser.lexer.Stream:fill,org.htmlparser.lexer.Stream:available
pooka,TC_LexerPage_Simple,WALA,1-CFA,org.htmlparser.lexer.Page:writeObject,org.htmlparser.lexer.Page:getUrl
pooka,TC_LexerPage_Simple,WALA,1-CFA,org.htmlparser.lexer.Page:writeObject,org.htmlparser.lexer.Page:setUrl
pooka,TC_LexerPage_Simple,WALA,1-CFA,org.htmlparser.lexer.Page:writeObject,org.htmlparser.lexer.Page:getConnection
pooka,TC_LexerPage_Simple,WALA,1-CFA,org.htmlparser.lexer.Page:readObject,org.htmlparser.lexer.Page:setUrl
pooka,TC_RecipientType2_Array,SALSA,0-1-CFA,javax.mail.internet.MimeMessage$RecipientType:readResolve,java.lang.String:equals
pooka,TC_RecipientType_Set,WALA,0-1-CFA,javax.mail.Message$RecipientType:readResolve,java.lang.String:equals
pooka,TC_RecipientType_List,WALA,0-1-CFA,javax.mail.Message$RecipientType:readResolve,java.lang.String:equals
pooka,TC_InputStreamSource_Set,SENECA,0-1-CFA,org.htmlparser.lexer.Stream:read,org.htmlparser.lexer.Stream:fill
pooka,TC_InputStreamSource_Set,SENECA,0-1-CFA,org.htmlparser.lexer.Stream:fill,java.lang.Math:max
pooka,TC_InputStreamSource_Set,SENECA,0-1-CFA,org.htmlparser.lexer.Stream:fill,org.htmlparser.lexer.Stream:available
