Project,TC,Approach,Policy,FromNode,ToNode
james,ALL,SENECA,0-1-CFA,testcases.TC_MailImpl_Array:main,edu.rit.se.design.salsa.testcases.utils.AbstractTestCase:runTest
james,ALL,SENECA,0-1-CFA,testcases.TC_MailImpl_Array:main,testcases.TC_MailImpl_Simple:<init>
james,ALL,SENECA,0-1-CFA,testcases.TC_MailImpl_Array:main,testcases.TC_MailImpl_Array:<init>
james,ALL,SENECA,0-1-CFA,testcases.TC_MailImpl_Simple:<init>,edu.rit.se.design.salsa.testcases.utils.AbstractSimpleTestCase:<init>
james,ALL,SENECA,0-1-CFA,testcases.TC_MailImpl_Array:<init>,edu.rit.se.design.salsa.testcases.utils.CompositeArrayTestCase:<init>
james,ALL,SENECA,0-1-CFA,edu.rit.se.design.salsa.testcases.utils.AbstractTestCase:runTest,java.lang.StringBuilder:<init>
james,ALL,SENECA,0-1-CFA,edu.rit.se.design.salsa.testcases.utils.AbstractTestCase:runTest,salsa.model.ObjectOutputStream:writeObject
james,ALL,SENECA,0-1-CFA,edu.rit.se.design.salsa.testcases.utils.AbstractTestCase:runTest,org.apache.avalon.framework.Version:toString
james,ALL,SENECA,0-1-CFA,edu.rit.se.design.salsa.testcases.utils.AbstractTestCase:runTest,edu.rit.se.design.salsa.testcases.utils.CompositeSetTestCase:getObject
james,ALL,SENECA,0-1-CFA,edu.rit.se.design.salsa.testcases.utils.AbstractTestCase:runTest,javax.mail.Message$RecipientType:toString
james,ALL,SENECA,0-1-CFA,edu.rit.se.design.salsa.testcases.utils.AbstractTestCase:runTest,edu.rit.se.design.salsa.testcases.utils.CompositeMapTestCase:getObject
james,ALL,SENECA,0-1-CFA,edu.rit.se.design.salsa.testcases.utils.AbstractTestCase:runTest,java.util.AbstractCollection:toString
james,ALL,SENECA,0-1-CFA,edu.rit.se.design.salsa.testcases.utils.AbstractTestCase:runTest,javax.mail.internet.InternetAddress:toString
james,ALL,SENECA,0-1-CFA,edu.rit.se.design.salsa.testcases.utils.AbstractTestCase:runTest,edu.rit.se.design.salsa.testcases.utils.CompositeListTestCase:getObject
james,ALL,SENECA,0-1-CFA,edu.rit.se.design.salsa.testcases.utils.AbstractTestCase:runTest,edu.rit.se.design.salsa.testcases.utils.CompositeSetTestCase:getTestName
james,ALL,SENECA,0-1-CFA,edu.rit.se.design.salsa.testcases.utils.AbstractTestCase:runTest,edu.rit.se.design.salsa.testcases.utils.CompositeListTestCase:getTestName
james,ALL,SENECA,0-1-CFA,edu.rit.se.design.salsa.testcases.utils.AbstractTestCase:runTest,org.apache.mailet.MailAddress:toString
james,ALL,SENECA,0-1-CFA,edu.rit.se.design.salsa.testcases.utils.AbstractTestCase:runTest,java.lang.StringBuilder:append
james,ALL,SENECA,0-1-CFA,edu.rit.se.design.salsa.testcases.utils.AbstractTestCase:runTest,javax.mail.internet.NewsAddress:toString
james,ALL,SENECA,0-1-CFA,edu.rit.se.design.salsa.testcases.utils.AbstractTestCase:runTest,java.lang.Object:toString
james,ALL,SENECA,0-1-CFA,edu.rit.se.design.salsa.testcases.utils.AbstractTestCase:runTest,edu.rit.se.design.salsa.testcases.utils.CompositeArrayTestCase:getTestName
james,ALL,SENECA,0-1-CFA,edu.rit.se.design.salsa.testcases.utils.AbstractTestCase:runTest,java.lang.StringBuilder:toString
james,ALL,SENECA,0-1-CFA,edu.rit.se.design.salsa.testcases.utils.AbstractTestCase:runTest,javax.mail.internet.AddressException:toString
