Project,TC,Approach,Policy,FromNode,ToNode
jpf,ALL,SENECA,0-1-CFA,edu.rit.se.design.salsa.testcases.utils.AbstractTestCase:runTest,salsa.model.ObjectOutputStream:writeObject
jpf,ALL,SENECA,0-1-CFA,edu.rit.se.design.salsa.testcases.utils.AbstractSimpleTestCase:getTestName,java.lang.Object:getClass
jpf,ALL,SENECA,0-1-CFA,org.java.plugin.registry.Version:parseString,java.lang.StringBuffer:<init>
jpf,ALL,SENECA,0-1-CFA,org.java.plugin.registry.Version:parseString,java.lang.StringBuffer:toString
jpf,ALL,SENECA,0-1-CFA,org.java.plugin.registry.Version:parseString,java.lang.StringBuffer:append
jpf,ALL,SENECA,0-1-CFA,org.java.plugin.registry.Version:equals,java.lang.String:equalsIgnoreCase
jpf,ALL,SENECA,0-1-CFA,org.java.plugin.registry.Version:compareTo,java.lang.ClassCastException:<init>
jpf,ALL,SENECA,0-1-CFA,org.java.plugin.registry.Version:compareTo,java.lang.String:toLowerCase
jpf,ALL,SENECA,0-1-CFA,org.java.plugin.registry.Version:compareTo,org.java.plugin.registry.Version:equals
jpf,ALL,SENECA,0-1-CFA,org.java.plugin.registry.Version:compareTo,java.lang.String:compareTo
jpf,ALL,SALSA,0-1-CFA,edu.rit.se.design.salsa.testcases.utils.AbstractTestCase:runTest,salsa.model.ObjectOutputStream:writeObject
jpf,ALL,SALSA,0-1-CFA,edu.rit.se.design.salsa.testcases.utils.AbstractSimpleTestCase:getTestName,java.lang.Object:getClass
jpf,ALL,SALSA,0-1-CFA,org.java.plugin.registry.Version:parseString,java.lang.StringBuffer:<init>
jpf,ALL,SALSA,0-1-CFA,org.java.plugin.registry.Version:parseString,java.lang.StringBuffer:toString
jpf,ALL,SALSA,0-1-CFA,org.java.plugin.registry.Version:parseString,java.lang.StringBuffer:append
jpf,ALL,SALSA,0-1-CFA,org.java.plugin.registry.Version:equals,java.lang.String:equalsIgnoreCase
jpf,ALL,SALSA,0-1-CFA,org.java.plugin.registry.Version:compareTo,java.lang.ClassCastException:<init>
jpf,ALL,SALSA,0-1-CFA,org.java.plugin.registry.Version:compareTo,java.lang.String:toLowerCase
jpf,ALL,SALSA,0-1-CFA,org.java.plugin.registry.Version:compareTo,org.java.plugin.registry.Version:equals
jpf,ALL,SALSA,0-1-CFA,org.java.plugin.registry.Version:compareTo,java.lang.String:compareTo
jpf,ALL,WALA,0-1-CFA,edu.rit.se.design.salsa.testcases.utils.AbstractTestCase:runTest,java.lang.Class:toString
jpf,ALL,WALA,0-1-CFA,edu.rit.se.design.salsa.testcases.utils.AbstractTestCase:runTest,java.lang.String:toString
jpf,ALL,WALA,0-1-CFA,edu.rit.se.design.salsa.testcases.utils.AbstractTestCase:runTest,java.lang.Throwable:toString
jpf,ALL,WALA,0-1-CFA,edu.rit.se.design.salsa.testcases.utils.AbstractSimpleTestCase:getTestName,java.lang.Object:getClass
jpf,ALL,WALA,0-1-CFA,org.java.plugin.registry.Version:parseString,java.lang.StringBuffer:<init>
jpf,ALL,WALA,0-1-CFA,org.java.plugin.registry.Version:parseString,java.lang.StringBuffer:toString
jpf,ALL,WALA,0-1-CFA,org.java.plugin.registry.Version:parseString,java.lang.StringBuffer:append
jpf,ALL,WALA,0-1-CFA,org.java.plugin.registry.Version:equals,java.lang.String:equalsIgnoreCase
jpf,ALL,WALA,0-1-CFA,org.java.plugin.registry.Version:compareTo,java.lang.ClassCastException:<init>
jpf,ALL,WALA,0-1-CFA,org.java.plugin.registry.Version:compareTo,java.lang.String:toLowerCase
jpf,ALL,WALA,0-1-CFA,org.java.plugin.registry.Version:compareTo,org.java.plugin.registry.Version:equals
