Project,TC,Approach,Policy,FromNode,ToNode
openjms,ALL,SALSA,0-1-CFA,testcases.TC_UnicastDelegate_Map:main,edu.rit.se.design.salsa.testcases.utils.AbstractTestCase:runTest
openjms,ALL,SALSA,0-1-CFA,testcases.TC_UnicastDelegate_Map:main,testcases.TC_UnicastDelegate_Simple:<init>
openjms,ALL,SALSA,0-1-CFA,testcases.TC_UnicastDelegate_Map:main,testcases.TC_UnicastDelegate_Map:<init>
openjms,ALL,SALSA,0-1-CFA,testcases.TC_UnicastDelegate_Simple:<init>,edu.rit.se.design.salsa.testcases.utils.AbstractSimpleTestCase:<init>
openjms,ALL,SALSA,0-1-CFA,testcases.TC_UnicastDelegate_Map:<init>,edu.rit.se.design.salsa.testcases.utils.CompositeMapTestCase:<init>
openjms,ALL,SALSA,0-1-CFA,edu.rit.se.design.salsa.testcases.utils.AbstractTestCase:runTest,edu.rit.se.design.salsa.testcases.utils.AbstractSimpleTestCase:getTestName
openjms,ALL,SALSA,0-1-CFA,edu.rit.se.design.salsa.testcases.utils.AbstractTestCase:runTest,java.lang.StringBuilder:append
openjms,ALL,SALSA,0-1-CFA,edu.rit.se.design.salsa.testcases.utils.AbstractTestCase:runTest,edu.rit.se.design.salsa.testcases.utils.CompositeArrayTestCase:getObject
openjms,ALL,SALSA,0-1-CFA,edu.rit.se.design.salsa.testcases.utils.AbstractTestCase:runTest,java.lang.StringBuilder:<init>
openjms,ALL,SALSA,0-1-CFA,edu.rit.se.design.salsa.testcases.utils.AbstractTestCase:runTest,java.util.AbstractMap:toString
openjms,ALL,SALSA,0-1-CFA,edu.rit.se.design.salsa.testcases.utils.AbstractTestCase:runTest,edu.rit.se.design.salsa.testcases.utils.CompositeSetTestCase:getObject
openjms,ALL,SALSA,0-1-CFA,edu.rit.se.design.salsa.testcases.utils.AbstractTestCase:runTest,edu.rit.se.design.salsa.testcases.utils.CompositeListTestCase:getTestName
openjms,ALL,SALSA,0-1-CFA,edu.rit.se.design.salsa.testcases.utils.AbstractTestCase:runTest,edu.rit.se.design.salsa.testcases.utils.CompositeMapTestCase:getTestName
openjms,ALL,SALSA,0-1-CFA,edu.rit.se.design.salsa.testcases.utils.AbstractTestCase:runTest,testcases.TC_UnicastDelegate_Simple:getObject
openjms,ALL,SALSA,0-1-CFA,edu.rit.se.design.salsa.testcases.utils.AbstractTestCase:runTest,edu.rit.se.design.salsa.testcases.utils.CompositeSetTestCase:getTestName
openjms,ALL,SALSA,0-1-CFA,edu.rit.se.design.salsa.testcases.utils.AbstractTestCase:runTest,java.lang.Object:toString
openjms,ALL,SALSA,0-1-CFA,edu.rit.se.design.salsa.testcases.utils.AbstractTestCase:runTest,edu.rit.se.design.salsa.testcases.utils.CompositeMapTestCase:getObject
openjms,ALL,SALSA,0-1-CFA,edu.rit.se.design.salsa.testcases.utils.AbstractTestCase:runTest,edu.rit.se.design.salsa.testcases.utils.CompositeArrayTestCase:getTestName
openjms,ALL,SALSA,0-1-CFA,edu.rit.se.design.salsa.testcases.utils.AbstractTestCase:runTest,java.util.AbstractCollection:toString
openjms,ALL,SALSA,0-1-CFA,edu.rit.se.design.salsa.testcases.utils.AbstractTestCase:runTest,edu.rit.se.design.salsa.testcases.utils.CompositeListTestCase:getObject
openjms,ALL,SALSA,0-1-CFA,edu.rit.se.design.salsa.testcases.utils.AbstractTestCase:runTest,java.lang.StringBuilder:toString
openjms,ALL,SALSA,0-1-CFA,edu.rit.se.design.salsa.testcases.utils.AbstractTestCase:runTest,salsa.model.ObjectOutputStream:writeObject
openjms,ALL,SALSA,0-1-CFA,edu.rit.se.design.salsa.testcases.utils.AbstractSimpleTestCase:<init>,edu.rit.se.design.salsa.testcases.utils.AbstractTestCase:<init>
openjms,ALL,SALSA,0-1-CFA,edu.rit.se.design.salsa.testcases.utils.CompositeMapTestCase:<init>,edu.rit.se.design.salsa.testcases.utils.AbstractCompositeTestCase:<init>
openjms,ALL,SALSA,0-1-CFA,edu.rit.se.design.salsa.testcases.utils.CompositeMapTestCase:getTestName,java.lang.StringBuilder:toString
openjms,ALL,SALSA,0-1-CFA,edu.rit.se.design.salsa.testcases.utils.CompositeMapTestCase:getTestName,java.lang.StringBuilder:<init>
openjms,ALL,SALSA,0-1-CFA,edu.rit.se.design.salsa.testcases.utils.CompositeMapTestCase:getTestName,edu.rit.se.design.salsa.testcases.utils.AbstractSimpleTestCase:getTestName
openjms,ALL,SALSA,0-1-CFA,edu.rit.se.design.salsa.testcases.utils.CompositeMapTestCase:getTestName,java.lang.StringBuilder:append
openjms,ALL,SALSA,0-1-CFA,edu.rit.se.design.salsa.testcases.utils.CompositeMapTestCase:getObject,java.util.HashMap:put
openjms,ALL,SALSA,0-1-CFA,edu.rit.se.design.salsa.testcases.utils.CompositeMapTestCase:getObject,testcases.TC_UnicastDelegate_Simple:getObject
openjms,ALL,SALSA,0-1-CFA,edu.rit.se.design.salsa.testcases.utils.CompositeMapTestCase:getObject,java.util.HashMap:<init>
openjms,ALL,SALSA,0-1-CFA,edu.rit.se.design.salsa.testcases.utils.AbstractTestCase:<init>,java.lang.Object:<init>
openjms,ALL,SALSA,0-1-CFA,edu.rit.se.design.salsa.testcases.utils.AbstractCompositeTestCase:<init>,edu.rit.se.design.salsa.testcases.utils.AbstractTestCase:<init>
openjms,ALL,SALSA,0-1-CFA,testcases.TC_UnicastDelegate_Simple:getObject,org.exolab.jms.net.orb.UnicastDelegate:<init>
openjms,ALL,SALSA,0-1-CFA,testcases.TC_UnicastDelegate_Simple:getObject,java.rmi.server.ObjID:<init>
openjms,ALL,SALSA,0-1-CFA,edu.rit.se.design.salsa.testcases.utils.AbstractSimpleTestCase:getTestName,java.lang.Object:getClass
openjms,ALL,SALSA,0-1-CFA,edu.rit.se.design.salsa.testcases.utils.AbstractSimpleTestCase:getTestName,java.lang.Class:getName
openjms,ALL,SALSA,0-1-CFA,org.exolab.jms.net.orb.UnicastDelegate:<init>,java.lang.Object:<init>
openjms,ALL,SALSA,0-1-CFA,org.exolab.jms.net.orb.UnicastDelegate:class$,java.lang.NoClassDefFoundError:<init>
openjms,ALL,SALSA,0-1-CFA,org.exolab.jms.net.orb.UnicastDelegate:class$,java.lang.Class:forName
openjms,ALL,SALSA,0-1-CFA,org.exolab.jms.net.orb.UnicastDelegate:class$,java.lang.Throwable:getMessage
openjms,ALL,SALSA,0-1-CFA,org.apache.commons.logging.LogFactory:getLog,org.apache.commons.logging.LogFactory:getFactory
openjms,ALL,SALSA,0-1-CFA,org.apache.commons.logging.LogFactory:getFactory,java.lang.StringBuffer:<init>
