Project,TC,Approach,Policy,FromNode,ToNode
xalan,TC_Stylesheet_Simple,SALSA,0-1-CFA,edu.rit.se.design.salsa.testcases.utils.AbstractTestCase:runTest,salsa.model.ObjectOutputStream:writeObject
xalan,TC_Stylesheet_Simple,SALSA,0-1-CFA,edu.rit.se.design.salsa.testcases.utils.AbstractSimpleTestCase:getTestName,java.lang.Object:getClass
xalan,TC_ElemForEach_Array,WALA,0-1-CFA,edu.rit.se.design.salsa.testcases.utils.AbstractTestCase:runTest,java.lang.String:toString
xalan,TC_ElemForEach_Array,WALA,0-1-CFA,edu.rit.se.design.salsa.testcases.utils.AbstractTestCase:runTest,java.lang.Class:toString
xalan,TC_ElemForEach_Array,WALA,0-1-CFA,edu.rit.se.design.salsa.testcases.utils.AbstractTestCase:runTest,java.lang.Throwable:toString
xalan,TC_ElemForEach_Array,WALA,0-1-CFA,edu.rit.se.design.salsa.testcases.utils.AbstractSimpleTestCase:getTestName,java.lang.Object:getClass
xalan,TC_Stylesheet_Simple,WALA,1-CFA,edu.rit.se.design.salsa.testcases.utils.AbstractTestCase:runTest,java.lang.String:toString
xalan,TC_Stylesheet_Simple,WALA,1-CFA,edu.rit.se.design.salsa.testcases.utils.AbstractTestCase:runTest,java.lang.Class:toString
xalan,TC_Stylesheet_Simple,WALA,1-CFA,edu.rit.se.design.salsa.testcases.utils.AbstractTestCase:runTest,java.lang.Throwable:toString
xalan,TC_Stylesheet_Simple,WALA,1-CFA,edu.rit.se.design.salsa.testcases.utils.AbstractSimpleTestCase:getTestName,java.lang.Object:getClass
xalan,TC_UnionPathIterator_Set,WALA,1-CFA,edu.rit.se.design.salsa.testcases.utils.AbstractTestCase:runTest,java.lang.String:toString
xalan,TC_UnionPathIterator_Set,WALA,1-CFA,edu.rit.se.design.salsa.testcases.utils.AbstractTestCase:runTest,java.lang.Class:toString
xalan,TC_UnionPathIterator_Set,WALA,1-CFA,edu.rit.se.design.salsa.testcases.utils.AbstractTestCase:runTest,java.lang.Object:toString
xalan,TC_UnionPathIterator_Set,WALA,1-CFA,edu.rit.se.design.salsa.testcases.utils.AbstractTestCase:runTest,java.lang.Throwable:toString
xalan,TC_UnionPathIterator_Set,WALA,1-CFA,edu.rit.se.design.salsa.testcases.utils.AbstractSimpleTestCase:getTestName,java.lang.Object:getClass
xalan,TC_UnionPathIterator_List,SALSA,1-CFA,edu.rit.se.design.salsa.testcases.utils.AbstractTestCase:runTest,salsa.model.ObjectOutputStream:writeObject
xalan,TC_UnionPathIterator_List,SALSA,1-CFA,edu.rit.se.design.salsa.testcases.utils.AbstractSimpleTestCase:getTestName,java.lang.Object:getClass
xalan,TC_TemplatesImpl_Simple,SALSA,0-1-CFA,edu.rit.se.design.salsa.testcases.utils.AbstractTestCase:runTest,salsa.model.ObjectOutputStream:writeObject
xalan,TC_TemplatesImpl_Simple,SALSA,0-1-CFA,edu.rit.se.design.salsa.testcases.utils.AbstractSimpleTestCase:getTestName,java.lang.Object:getClass
xalan,TC_UnionPathIterator_Set,SALSA,0-1-CFA,edu.rit.se.design.salsa.testcases.utils.AbstractTestCase:runTest,salsa.model.ObjectOutputStream:writeObject
xalan,TC_UnionPathIterator_Set,SALSA,0-1-CFA,edu.rit.se.design.salsa.testcases.utils.AbstractSimpleTestCase:getTestName,java.lang.Object:getClass
xalan,TC_TemplatesImpl_Array,WALA,1-CFA,edu.rit.se.design.salsa.testcases.utils.AbstractTestCase:runTest,java.lang.String:toString
xalan,TC_TemplatesImpl_Array,WALA,1-CFA,edu.rit.se.design.salsa.testcases.utils.AbstractTestCase:runTest,java.lang.Class:toString
xalan,TC_TemplatesImpl_Array,WALA,1-CFA,edu.rit.se.design.salsa.testcases.utils.AbstractTestCase:runTest,java.lang.Throwable:toString
xalan,TC_TemplatesImpl_Array,WALA,1-CFA,edu.rit.se.design.salsa.testcases.utils.AbstractSimpleTestCase:getTestName,java.lang.Object:getClass
xalan,TC_XSLTProcessorApplet_List,WALA,0-1-CFA,edu.rit.se.design.salsa.testcases.utils.AbstractTestCase:runTest,java.lang.String:toString
xalan,TC_XSLTProcessorApplet_List,WALA,0-1-CFA,edu.rit.se.design.salsa.testcases.utils.AbstractTestCase:runTest,java.lang.Class:toString
xalan,TC_XSLTProcessorApplet_List,WALA,0-1-CFA,edu.rit.se.design.salsa.testcases.utils.AbstractTestCase:runTest,java.lang.Object:toString
xalan,TC_XSLTProcessorApplet_List,WALA,0-1-CFA,edu.rit.se.design.salsa.testcases.utils.AbstractTestCase:runTest,java.lang.Throwable:toString
xalan,TC_XSLTProcessorApplet_List,WALA,0-1-CFA,edu.rit.se.design.salsa.testcases.utils.AbstractSimpleTestCase:getTestName,java.lang.Object:getClass
xalan,TC_ElemForEach_Simple,SENECA,0-1-CFA,edu.rit.se.design.salsa.testcases.utils.AbstractTestCase:runTest,org.apache.xpath.patterns.StepPattern:toString
xalan,TC_ElemForEach_Simple,SENECA,0-1-CFA,edu.rit.se.design.salsa.testcases.utils.AbstractTestCase:runTest,org.apache.xml.utils.QName:toString
xalan,TC_ElemForEach_Simple,SENECA,0-1-CFA,edu.rit.se.design.salsa.testcases.utils.AbstractTestCase:runTest,org.apache.xpath.functions.FuncExtFunction:toString
xalan,TC_ElemForEach_Simple,SENECA,0-1-CFA,edu.rit.se.design.salsa.testcases.utils.AbstractTestCase:runTest,org.apache.xml.utils.URI:toString
xalan,TC_ElemForEach_Simple,SENECA,0-1-CFA,edu.rit.se.design.salsa.testcases.utils.AbstractTestCase:runTest,org.apache.bcel.generic.InstructionList:toString
xalan,TC_ElemForEach_Simple,SENECA,0-1-CFA,edu.rit.se.design.salsa.testcases.utils.AbstractTestCase:runTest,org.apache.bcel.generic.Instruction:toString
xalan,TC_ElemForEach_Simple,SENECA,0-1-CFA,edu.rit.se.design.salsa.testcases.utils.AbstractTestCase:runTest,org.apache.xalan.xsltc.compiler.util.TypeCheckError:toString
xalan,TC_ElemForEach_Simple,SENECA,0-1-CFA,edu.rit.se.design.salsa.testcases.utils.AbstractTestCase:runTest,salsa.model.ObjectOutputStream:writeObject
xalan,TC_ElemForEach_Simple,SENECA,0-1-CFA,edu.rit.se.design.salsa.testcases.utils.AbstractTestCase:runTest,org.apache.bcel.generic.InstructionHandle:toString
xalan,TC_ElemForEach_Simple,SENECA,0-1-CFA,edu.rit.se.design.salsa.testcases.utils.AbstractTestCase:runTest,org.apache.xpath.objects.XObject:toString
xalan,TC_ElemForEach_Simple,SENECA,0-1-CFA,edu.rit.se.design.salsa.testcases.utils.AbstractSimpleTestCase:getTestName,java.lang.Object:getClass
xalan,TC_ElemForEach_Simple,SENECA,0-1-CFA,org.apache.xpath.axes.PredicatedNodeTest:<init>,org.apache.xpath.patterns.NodeTest:<init>
xalan,TC_ElemForEach_Simple,SENECA,0-1-CFA,org.apache.xpath.axes.PredicatedNodeTest:readObject,org.apache.xpath.axes.PredicatedNodeTest:resetProximityPositions
xalan,TC_ElemForEach_Simple,SENECA,0-1-CFA,org.apache.xpath.axes.PredicatedNodeTest:readObject,javax.xml.transform.TransformerException:<init>
xalan,TC_ElemForEach_Simple,SENECA,0-1-CFA,org.apache.xpath.axes.UnionPathIterator:<init>,org.apache.xpath.axes.LocPathIterator:<init>
xalan,TC_ElemForEach_Simple,SENECA,0-1-CFA,org.apache.xpath.axes.UnionPathIterator:readObject,org.apache.xpath.axes.IteratorPool:<init>
xalan,TC_ElemForEach_Simple,SENECA,0-1-CFA,org.apache.xpath.axes.UnionPathIterator:readObject,javax.xml.transform.TransformerException:<init>
xalan,TC_ElemForEach_Simple,SENECA,0-1-CFA,org.apache.xalan.xsltc.trax.TemplatesImpl:<init>,java.lang.ThreadLocal:<init>
xalan,TC_ElemForEach_Simple,SENECA,0-1-CFA,org.apache.xalan.xsltc.trax.TemplatesImpl:<init>,java.lang.Object:<init>
xalan,TC_ElemForEach_Simple,SENECA,0-1-CFA,org.apache.xalan.xsltc.trax.TemplatesImpl:readObject,org.apache.xalan.xsltc.trax.TransformerFactoryImpl:<init>
xalan,TC_ElemForEach_Simple,SENECA,0-1-CFA,org.apache.xalan.templates.Stylesheet:readObject,javax.xml.transform.TransformerException:<init>
xalan,TC_ElemForEach_Simple,SENECA,0-1-CFA,org.apache.xpath.axes.LocPathIterator:<init>,org.apache.xpath.axes.PredicatedNodeTest:<init>
xalan,TC_ElemForEach_Simple,SENECA,0-1-CFA,org.apache.xpath.axes.LocPathIterator:<init>,org.apache.xpath.axes.IteratorPool:<init>
xalan,TC_ElemForEach_Simple,SENECA,0-1-CFA,org.apache.xpath.axes.LocPathIterator:readObject,org.apache.xpath.axes.IteratorPool:<init>
xalan,TC_ElemForEach_Simple,SENECA,0-1-CFA,org.apache.xpath.axes.LocPathIterator:readObject,javax.xml.transform.TransformerException:<init>
xalan,TC_ElemForEach_Simple,SENECA,0-1-CFA,org.apache.xpath.objects.XObject:toString,org.apache.xpath.objects.XStringForFSB:str
xalan,TC_ElemForEach_Simple,SENECA,0-1-CFA,org.apache.xpath.objects.XObject:toString,org.apache.xpath.objects.XObject:str
xalan,TC_ElemForEach_Simple,SENECA,0-1-CFA,org.apache.xpath.objects.XObject:toString,org.apache.xpath.objects.XString:str
xalan,TC_ElemForEach_Simple,SENECA,0-1-CFA,org.apache.xalan.xsltc.compiler.util.TypeCheckError:toString,org.apache.xpath.patterns.StepPattern:toString
xalan,TC_ElemForEach_Simple,SENECA,0-1-CFA,org.apache.xalan.xsltc.compiler.util.TypeCheckError:toString,org.apache.xalan.xsltc.compiler.util.OutlineableChunkStart:toString
xalan,TC_ElemForEach_Simple,SENECA,0-1-CFA,org.apache.xalan.xsltc.compiler.util.TypeCheckError:toString,org.apache.xalan.xsltc.compiler.util.ErrorMsg:toString
xalan,TC_ElemForEach_Simple,SENECA,0-1-CFA,org.apache.xalan.xsltc.compiler.util.TypeCheckError:toString,org.apache.bcel.generic.InstructionList:toString
xalan,TC_ElemForEach_Simple,SENECA,0-1-CFA,org.apache.xalan.xsltc.compiler.util.TypeCheckError:toString,org.apache.bcel.generic.Instruction:toString
xalan,TC_ElemForEach_Simple,SENECA,0-1-CFA,org.apache.xalan.xsltc.compiler.util.TypeCheckError:toString,org.apache.xml.utils.URI:toString
xalan,TC_ElemForEach_Simple,SENECA,0-1-CFA,org.apache.xalan.xsltc.compiler.util.TypeCheckError:toString,org.apache.xalan.xsltc.compiler.util.TypeCheckError:toString
xalan,TC_ElemForEach_Simple,SENECA,0-1-CFA,org.apache.xalan.xsltc.compiler.util.TypeCheckError:toString,org.apache.xalan.xsltc.compiler.util.ErrorMsg:<init>
xalan,TC_ElemForEach_Simple,SENECA,0-1-CFA,org.apache.xalan.xsltc.compiler.util.TypeCheckError:toString,org.apache.xml.utils.QName:toString
xalan,TC_ElemForEach_Simple,SENECA,0-1-CFA,org.apache.xalan.xsltc.compiler.util.TypeCheckError:toString,org.apache.xpath.functions.FuncExtFunction:toString
xalan,TC_ElemForEach_Simple,SENECA,0-1-CFA,org.apache.xalan.xsltc.compiler.util.TypeCheckError:toString,org.apache.bcel.generic.InstructionHandle:toString
xalan,TC_ElemForEach_Simple,SENECA,0-1-CFA,org.apache.xalan.xsltc.compiler.util.TypeCheckError:toString,org.apache.xpath.objects.XObject:toString
xalan,TC_ElemForEach_Simple,SENECA,0-1-CFA,org.apache.xalan.xsltc.compiler.util.TypeCheckError:toString,org.apache.xalan.xsltc.compiler.util.OutlineableChunkEnd:toString
xalan,TC_ElemForEach_Simple,SENECA,0-1-CFA,org.apache.xml.utils.URI:toString,org.apache.xml.utils.URI:getSchemeSpecificPart
xalan,TC_ElemForEach_Simple,SENECA,0-1-CFA,org.apache.xml.utils.URI:toString,java.lang.StringBuffer:append
