Project,TC,Approach,Policy,FromNode,ToNode
xerces,TC_CoreDocumentImpl_List,SENECA,0-1-CFA,edu.rit.se.design.salsa.testcases.utils.AbstractTestCase:runTest,org.xml.sax.SAXException:toString
xerces,TC_CoreDocumentImpl_List,SENECA,0-1-CFA,edu.rit.se.design.salsa.testcases.utils.AbstractTestCase:runTest,org.apache.xerces.xni.parser.XMLParseException:toString
xerces,TC_CoreDocumentImpl_List,SENECA,0-1-CFA,edu.rit.se.design.salsa.testcases.utils.AbstractTestCase:runTest,org.apache.xerces.impl.xpath.regex.RegularExpression:toString
xerces,TC_CoreDocumentImpl_List,SENECA,0-1-CFA,edu.rit.se.design.salsa.testcases.utils.AbstractTestCase:runTest,org.apache.xerces.dom.NodeImpl:toString
xerces,TC_CoreDocumentImpl_List,SENECA,0-1-CFA,edu.rit.se.design.salsa.testcases.utils.AbstractTestCase:runTest,org.apache.xerces.util.URI:toString
xerces,TC_CoreDocumentImpl_List,SENECA,0-1-CFA,edu.rit.se.design.salsa.testcases.utils.AbstractTestCase:runTest,org.apache.xerces.dom.AttrImpl:toString
xerces,TC_CoreDocumentImpl_List,SENECA,0-1-CFA,edu.rit.se.design.salsa.testcases.utils.AbstractTestCase:runTest,salsa.model.ObjectOutputStream:writeObject
xerces,TC_CoreDocumentImpl_List,SENECA,0-1-CFA,edu.rit.se.design.salsa.testcases.utils.AbstractSimpleTestCase:getTestName,java.lang.Object:getClass
xerces,TC_CoreDocumentImpl_List,SENECA,0-1-CFA,org.apache.xerces.dom.NodeImpl:toString,org.apache.xerces.dom.AttrImpl:getNodeValue
xerces,TC_CoreDocumentImpl_List,SENECA,0-1-CFA,org.apache.xerces.dom.NodeImpl:toString,org.apache.xerces.dom.AttrImpl:getNodeName
xerces,TC_CoreDocumentImpl_List,SENECA,0-1-CFA,org.apache.xerces.dom.AttrNSImpl:<init>,org.apache.xerces.dom.AttrImpl:<init>
xerces,TC_CoreDocumentImpl_List,SENECA,0-1-CFA,org.apache.xerces.dom.PSVIAttrNSImpl:readObject,java.lang.Object:getClass
xerces,TC_CoreDocumentImpl_List,SENECA,0-1-CFA,org.apache.xerces.dom.PSVIAttrNSImpl:readObject,java.lang.Class:getName
xerces,TC_CoreDocumentImpl_List,SENECA,0-1-CFA,org.apache.xerces.dom.AttrImpl:<init>,org.apache.xerces.dom.NodeImpl:<init>
xerces,TC_CoreDocumentImpl_List,SENECA,0-1-CFA,org.apache.xerces.dom.AttrImpl:readObject,org.apache.xerces.dom.NodeImpl:needsSyncChildren
xerces,TC_CoreDocumentImpl_List,SENECA,0-1-CFA,org.apache.xerces.dom.CoreDocumentImpl:readObject,java.util.WeakHashMap:<init>
xerces,TC_CoreDocumentImpl_List,SENECA,0-1-CFA,org.apache.xerces.dom.NamedNodeMapImpl:readObject,java.util.ArrayList:<init>
xerces,TC_CoreDocumentImpl_List,SENECA,0-1-CFA,org.apache.xerces.dom.ElementNSImpl:<init>,org.apache.xerces.dom.ElementImpl:<init>
