ProjectName,TestCase,ApproachName,Policy,Time (ms),#Extra Iterations
batik-testcases.jar,Ltestcases/TC_PadMode_Simple,SENECA,0-1-CFA,3725,3
batik-testcases.jar,Ltestcases/TC_ARGBChannel_Array,SENECA,0-1-CFA,1542,3
batik-testcases.jar,Ltestcases/TC_TextNode_Anchor_Map,SENECA,0-1-CFA,1463,3
batik-testcases.jar,Ltestcases/TC_CompositeRule_List,SENECA,0-1-CFA,1160,3
batik-testcases.jar,Ltestcases/TC_PadMode_Set,SENECA,0-1-CFA,858,3
batik-testcases.jar,Ltestcases/TC_AbstractDocument_Map,SENECA,0-1-CFA,1336,3
batik-testcases.jar,Ltestcases/TC_CompositeRule_Map,SENECA,0-1-CFA,1723,3
batik-testcases.jar,Ltestcases/TC_PadMode_Array,SENECA,0-1-CFA,700,3
batik-testcases.jar,Ltestcases/TC_CompositeRule_Array,SENECA,0-1-CFA,1088,3
batik-testcases.jar,Ltestcases/TC_TextNode_Anchor_Set,SENECA,0-1-CFA,1203,3
batik-testcases.jar,Ltestcases/TC_PadMode_List,SENECA,0-1-CFA,1040,3
batik-testcases.jar,Ltestcases/TC_AbstractDocument_List,SENECA,0-1-CFA,920,3
batik-testcases.jar,Ltestcases/TC_CompositeRule_Set,SENECA,0-1-CFA,1220,3
batik-testcases.jar,Ltestcases/TC_ARGBChannel_Map,SENECA,0-1-CFA,1129,3
batik-testcases.jar,Ltestcases/TC_PadMode_Map,SENECA,0-1-CFA,950,3
batik-testcases.jar,Ltestcases/TC_CompositeRule_Simple,SENECA,0-1-CFA,990,3
batik-testcases.jar,Ltestcases/TC_TextNode_Anchor_List,SENECA,0-1-CFA,1045,3
batik-testcases.jar,Ltestcases/TC_ARGBChannel_List,SENECA,0-1-CFA,1110,3
batik-testcases.jar,Ltestcases/TC_ARGBChannel_Set,SENECA,0-1-CFA,1027,3
batik-testcases.jar,Ltestcases/TC_AbstractDocument_Array,SENECA,0-1-CFA,967,3
batik-testcases.jar,Ltestcases/TC_AbstractDocument_Set,SENECA,0-1-CFA,840,3
batik-testcases.jar,Ltestcases/TC_ARGBChannel_Simple,SENECA,0-1-CFA,829,3
batik-testcases.jar,Ltestcases/TC_TextNode_Anchor_Array,SENECA,0-1-CFA,1033,3
batik-testcases.jar,Ltestcases/TC_TextNode_Anchor_Simple,SENECA,0-1-CFA,976,3
batik-testcases.jar,Ltestcases/TC_AbstractDocument_Simple,SENECA,0-1-CFA,820,3
batik-testcases.jar,Ltestcases/TC_PadMode_Simple,SENECA,1-CFA,1482,3
