ProjectName	TestCase	ApproachName	Policy	# Nodes	#Edges
batik	Ltestcases/TC_PadMode_Simple	SENECA	0-1-CFA	2678	7697
batik	Ltestcases/TC_ARGBChannel_Array	SENECA	0-1-CFA	2683	7706
batik	Ltestcases/TC_TextNode_Anchor_Map	SENECA	0-1-CFA	2978	8657
batik	Ltestcases/TC_CompositeRule_List	SENECA	0-1-CFA	2961	8614
batik	Ltestcases/TC_PadMode_Set	SENECA	0-1-CFA	2991	8682
batik	Ltestcases/TC_AbstractDocument_Map	SENECA	0-1-CFA	2415	6845
batik	Ltestcases/TC_CompositeRule_Map	SENECA	0-1-CFA	2977	8665
batik	Ltestcases/TC_PadMode_Array	SENECA	0-1-CFA	2683	7706
batik	Ltestcases/TC_CompositeRule_Array	SENECA	0-1-CFA	2683	7706
batik	Ltestcases/TC_TextNode_Anchor_Set	SENECA	0-1-CFA	2991	8682
batik	Ltestcases/TC_PadMode_List	SENECA	0-1-CFA	2960	8606
batik	Ltestcases/TC_AbstractDocument_List	SENECA	0-1-CFA	2401	6820
batik	Ltestcases/TC_CompositeRule_Set	SENECA	0-1-CFA	2990	8690
batik	Ltestcases/TC_ARGBChannel_Map	SENECA	0-1-CFA	2977	8659
batik	Ltestcases/TC_PadMode_Map	SENECA	0-1-CFA	2978	8657
batik	Ltestcases/TC_CompositeRule_Simple	SENECA	0-1-CFA	2677	7695
batik	Ltestcases/TC_TextNode_Anchor_List	SENECA	0-1-CFA	2960	8606
batik	Ltestcases/TC_ARGBChannel_List	SENECA	0-1-CFA	2961	8608
batik	Ltestcases/TC_ARGBChannel_Set	SENECA	0-1-CFA	2990	8684
batik	Ltestcases/TC_AbstractDocument_Array	SENECA	0-1-CFA	2386	6704
batik	Ltestcases/TC_AbstractDocument_Set	SENECA	0-1-CFA	2406	6829
batik	Ltestcases/TC_ARGBChannel_Simple	SENECA	0-1-CFA	2677	7689
batik	Ltestcases/TC_TextNode_Anchor_Array	SENECA	0-1-CFA	2683	7706
batik	Ltestcases/TC_TextNode_Anchor_Simple	SENECA	0-1-CFA	2678	7697
batik	Ltestcases/TC_AbstractDocument_Simple	SENECA	0-1-CFA	2381	6695
batik	Ltestcases/TC_PadMode_Simple	SENECA	1-CFA	6114	15198
batik	Ltestcases/TC_ARGBChannel_Array	SENECA	1-CFA	6125	15214
batik	Ltestcases/TC_TextNode_Anchor_Map	SENECA	1-CFA	6868	17275
batik	Ltestcases/TC_CompositeRule_List	SENECA	1-CFA	6818	17068
batik	Ltestcases/TC_PadMode_Set	SENECA	1-CFA	6839	17214
batik	Ltestcases/TC_AbstractDocument_Map	SENECA	1-CFA	6942	17241
batik	Ltestcases/TC_CompositeRule_Map	SENECA	1-CFA	6870	17302
batik	Ltestcases/TC_PadMode_Array	SENECA	1-CFA	6124	15213
batik	Ltestcases/TC_CompositeRule_Array	SENECA	1-CFA	6125	15226
batik	Ltestcases/TC_TextNode_Anchor_Set	SENECA	1-CFA	6839	17214
batik	Ltestcases/TC_PadMode_List	SENECA	1-CFA	6816	17042
batik	Ltestcases/TC_AbstractDocument_List	SENECA	1-CFA	6882	17003
batik	Ltestcases/TC_CompositeRule_Set	SENECA	1-CFA	6841	17241
batik	Ltestcases/TC_ARGBChannel_Map	SENECA	1-CFA	6870	17278
batik	Ltestcases/TC_PadMode_Map	SENECA	1-CFA	6868	17275
batik	Ltestcases/TC_CompositeRule_Simple	SENECA	1-CFA	6114	15201
batik	Ltestcases/TC_TextNode_Anchor_List	SENECA	1-CFA	6816	17042
batik	Ltestcases/TC_ARGBChannel_List	SENECA	1-CFA	6818	17044
batik	Ltestcases/TC_ARGBChannel_Set	SENECA	1-CFA	6841	17217
batik	Ltestcases/TC_AbstractDocument_Array	SENECA	1-CFA	6192	15200
batik	Ltestcases/TC_AbstractDocument_Set	SENECA	1-CFA	6913	17180
batik	Ltestcases/TC_ARGBChannel_Simple	SENECA	1-CFA	6114	15189
batik	Ltestcases/TC_TextNode_Anchor_Array	SENECA	1-CFA	6124	15213
batik	Ltestcases/TC_TextNode_Anchor_Simple	SENECA	1-CFA	6114	15198
batik	Ltestcases/TC_AbstractDocument_Simple	SENECA	1-CFA	6182	15185
batik	Ltestcases/TC_PadMode_Simple	SALSA	0-1-CFA	772	1434
batik	Ltestcases/TC_ARGBChannel_Array	SALSA	0-1-CFA	777	1443
batik	Ltestcases/TC_TextNode_Anchor_Map	SALSA	0-1-CFA	984	2035
batik	Ltestcases/TC_CompositeRule_List	SALSA	0-1-CFA	971	2021
