ProjectName	TestCase	ApproachName	Policy	Time (ms)	#Extra Iterations
batik-testcases.jar	Ltestcases/TC_PadMode_Simple	SENECA	0-1-CFA	2735	3
batik-testcases.jar	Ltestcases/TC_ARGBChannel_Array	SENECA	0-1-CFA	1031	3
batik-testcases.jar	Ltestcases/TC_TextNode_Anchor_Map	SENECA	0-1-CFA	1101	3
batik-testcases.jar	Ltestcases/TC_CompositeRule_List	SENECA	0-1-CFA	1500	3
batik-testcases.jar	Ltestcases/TC_PadMode_Set	SENECA	0-1-CFA	1329	3
batik-testcases.jar	Ltestcases/TC_AbstractDocument_Map	SENECA	0-1-CFA	719	3
batik-testcases.jar	Ltestcases/TC_CompositeRule_Map	SENECA	0-1-CFA	1153	3
batik-testcases.jar	Ltestcases/TC_PadMode_Array	SENECA	0-1-CFA	904	3
batik-testcases.jar	Ltestcases/TC_CompositeRule_Array	SENECA	0-1-CFA	982	3
batik-testcases.jar	Ltestcases/TC_TextNode_Anchor_Set	SENECA	0-1-CFA	1065	3
batik-testcases.jar	Ltestcases/TC_PadMode_List	SENECA	0-1-CFA	1012	3
batik-testcases.jar	Ltestcases/TC_AbstractDocument_List	SENECA	0-1-CFA	785	3
batik-testcases.jar	Ltestcases/TC_CompositeRule_Set	SENECA	0-1-CFA	1127	3
batik-testcases.jar	Ltestcases/TC_ARGBChannel_Map	SENECA	0-1-CFA	1040	3
batik-testcases.jar	Ltestcases/TC_PadMode_Map	SENECA	0-1-CFA	919	3
batik-testcases.jar	Ltestcases/TC_CompositeRule_Simple	SENECA	0-1-CFA	1034	3
batik-testcases.jar	Ltestcases/TC_TextNode_Anchor_List	SENECA	0-1-CFA	1016	3
batik-testcases.jar	Ltestcases/TC_ARGBChannel_List	SENECA	0-1-CFA	937	3
batik-testcases.jar	Ltestcases/TC_ARGBChannel_Set	SENECA	0-1-CFA	1235	3
batik-testcases.jar	Ltestcases/TC_AbstractDocument_Array	SENECA	0-1-CFA	927	3
batik-testcases.jar	Ltestcases/TC_AbstractDocument_Set	SENECA	0-1-CFA	733	3
batik-testcases.jar	Ltestcases/TC_ARGBChannel_Simple	SENECA	0-1-CFA	1209	3
batik-testcases.jar	Ltestcases/TC_TextNode_Anchor_Array	SENECA	0-1-CFA	1082	3
batik-testcases.jar	Ltestcases/TC_TextNode_Anchor_Simple	SENECA	0-1-CFA	893	3
batik-testcases.jar	Ltestcases/TC_AbstractDocument_Simple	SENECA	0-1-CFA	964	3
batik-testcases.jar	Ltestcases/TC_PadMode_Simple	SENECA	1-CFA	1606	3
batik-testcases.jar	Ltestcases/TC_ARGBChannel_Array	SENECA	1-CFA	925	3
batik-testcases.jar	Ltestcases/TC_TextNode_Anchor_Map	SENECA	1-CFA	1042	3
batik-testcases.jar	Ltestcases/TC_CompositeRule_List	SENECA	1-CFA	1074	3
batik-testcases.jar	Ltestcases/TC_PadMode_Set	SENECA	1-CFA	1001	3
batik-testcases.jar	Ltestcases/TC_AbstractDocument_Map	SENECA	1-CFA	944	3
batik-testcases.jar	Ltestcases/TC_CompositeRule_Map	SENECA	1-CFA	707	3
batik-testcases.jar	Ltestcases/TC_PadMode_Array	SENECA	1-CFA	760	3
batik-testcases.jar	Ltestcases/TC_CompositeRule_Array	SENECA	1-CFA	608	3
batik-testcases.jar	Ltestcases/TC_TextNode_Anchor_Set	SENECA	1-CFA	811	3
batik-testcases.jar	Ltestcases/TC_PadMode_List	SENECA	1-CFA	795	3
batik-testcases.jar	Ltestcases/TC_AbstractDocument_List	SENECA	1-CFA	897	3
batik-testcases.jar	Ltestcases/TC_CompositeRule_Set	SENECA	1-CFA	1114	3
batik-testcases.jar	Ltestcases/TC_ARGBChannel_Map	SENECA	1-CFA	1194	3
batik-testcases.jar	Ltestcases/TC_PadMode_Map	SENECA	1-CFA	1084	3
batik-testcases.jar	Ltestcases/TC_CompositeRule_Simple	SENECA	1-CFA	810	3
batik-testcases.jar	Ltestcases/TC_TextNode_Anchor_List	SENECA	1-CFA	928	3
batik-testcases.jar	Ltestcases/TC_ARGBChannel_List	SENECA	1-CFA	880	3
batik-testcases.jar	Ltestcases/TC_ARGBChannel_Set	SENECA	1-CFA	1020	3
batik-testcases.jar	Ltestcases/TC_AbstractDocument_Array	SENECA	1-CFA	1061	3
batik-testcases.jar	Ltestcases/TC_AbstractDocument_Set	SENECA	1-CFA	1096	3
batik-testcases.jar	Ltestcases/TC_ARGBChannel_Simple	SENECA	1-CFA	850	3
batik-testcases.jar	Ltestcases/TC_TextNode_Anchor_Array	SENECA	1-CFA	802	3
batik-testcases.jar	Ltestcases/TC_TextNode_Anchor_Simple	SENECA	1-CFA	888	3
batik-testcases.jar	Ltestcases/TC_AbstractDocument_Simple	SENECA	1-CFA	905	3
batik-testcases.jar	Ltestcases/TC_PadMode_Simple	SALSA	0-1-CFA	279	2
batik-testcases.jar	Ltestcases/TC_ARGBChannel_Array	SALSA	0-1-CFA	96	2
batik-testcases.jar	Ltestcases/TC_TextNode_Anchor_Map	SALSA	0-1-CFA	237	3
batik-testcases.jar	Ltestcases/TC_CompositeRule_List	SALSA	0-1-CFA	237	3
batik-testcases.jar	Ltestcases/TC_PadMode_Set	SALSA	0-1-CFA	130	3
batik-testcases.jar	Ltestcases/TC_AbstractDocument_Map	SALSA	0-1-CFA	792	3
batik-testcases.jar	Ltestcases/TC_CompositeRule_Map	SALSA	0-1-CFA	204	3
batik-testcases.jar	Ltestcases/TC_PadMode_Array	SALSA	0-1-CFA	152	2
batik-testcases.jar	Ltestcases/TC_CompositeRule_Array	SALSA	0-1-CFA	57	2
batik-testcases.jar	Ltestcases/TC_TextNode_Anchor_Set	SALSA	0-1-CFA	161	3
batik-testcases.jar	Ltestcases/TC_PadMode_List	SALSA	0-1-CFA	177	3
batik-testcases.jar	Ltestcases/TC_AbstractDocument_List	SALSA	0-1-CFA	603	3
batik-testcases.jar	Ltestcases/TC_CompositeRule_Set	SALSA	0-1-CFA	202	3
batik-testcases.jar	Ltestcases/TC_ARGBChannel_Map	SALSA	0-1-CFA	188	3
batik-testcases.jar	Ltestcases/TC_PadMode_Map	SALSA	0-1-CFA	199	3
batik-testcases.jar	Ltestcases/TC_CompositeRule_Simple	SALSA	0-1-CFA	61	2
batik-testcases.jar	Ltestcases/TC_TextNode_Anchor_List	SALSA	0-1-CFA	106	3
batik-testcases.jar	Ltestcases/TC_ARGBChannel_List	SALSA	0-1-CFA	98	3
batik-testcases.jar	Ltestcases/TC_ARGBChannel_Set	SALSA	0-1-CFA	99	3
batik-testcases.jar	Ltestcases/TC_AbstractDocument_Array	SALSA	0-1-CFA	493	2
batik-testcases.jar	Ltestcases/TC_AbstractDocument_Set	SALSA	0-1-CFA	450	3
batik-testcases.jar	Ltestcases/TC_ARGBChannel_Simple	SALSA	0-1-CFA	54	2
batik-testcases.jar	Ltestcases/TC_TextNode_Anchor_Array	SALSA	0-1-CFA	56	2
batik-testcases.jar	Ltestcases/TC_TextNode_Anchor_Simple	SALSA	0-1-CFA	54	2
batik-testcases.jar	Ltestcases/TC_AbstractDocument_Simple	SALSA	0-1-CFA	339	3
batik-testcases.jar	Ltestcases/TC_PadMode_Simple	SALSA	1-CFA	238	3
batik-testcases.jar	Ltestcases/TC_ARGBChannel_Array	SALSA	1-CFA	194	3
batik-testcases.jar	Ltestcases/TC_TextNode_Anchor_Map	SALSA	1-CFA	253	3
batik-testcases.jar	Ltestcases/TC_CompositeRule_List	SALSA	1-CFA	309	3
batik-testcases.jar	Ltestcases/TC_PadMode_Set	SALSA	1-CFA	132	2
batik-testcases.jar	Ltestcases/TC_AbstractDocument_Map	SALSA	1-CFA	615	3
batik-testcases.jar	Ltestcases/TC_CompositeRule_Map	SALSA	1-CFA	132	3
batik-testcases.jar	Ltestcases/TC_PadMode_Array	SALSA	1-CFA	83	3
batik-testcases.jar	Ltestcases/TC_CompositeRule_Array	SALSA	1-CFA	79	3
batik-testcases.jar	Ltestcases/TC_TextNode_Anchor_Set	SALSA	1-CFA	80	2
batik-testcases.jar	Ltestcases/TC_PadMode_List	SALSA	1-CFA	144	3
batik-testcases.jar	Ltestcases/TC_AbstractDocument_List	SALSA	1-CFA	892	3
batik-testcases.jar	Ltestcases/TC_CompositeRule_Set	SALSA	1-CFA	150	2
batik-testcases.jar	Ltestcases/TC_ARGBChannel_Map	SALSA	1-CFA	141	3
batik-testcases.jar	Ltestcases/TC_PadMode_Map	SALSA	1-CFA	138	3
